target_date,city,district,temperature,weather_condition,uv_index,pm10_value,pm10_status
2026-08-06,서울,동대문구,30.0,맑음,높음,40,보통
2026-08-06,서울,중랑구,29.3,구름조금,높음,34,보통
2026-08-06,서울,성북구,29.7,구름조금,높음,37,보통
2026-08-06,서울,강북구,29.2,구름조금,높음,33,보통
2026-08-06,서울,도봉구,29.0,구름조금,높음,32,보통
2026-08-06,서울,노원구,29.1,구름조금,높음,33,보통
2026-08-06,서울,은평구,29.2,구름조금,높음,33,보통
2026-08-06,서울,서대문구,29.4,구름조금,높음,35,보통
2026-08-06,서울,마포구,29.6,구름조금,높음,36,보통
2026-08-06,서울,양천구,29.8,맑음,높음,38,보통
2026-08-06,서울,강서구,29.7,맑음,높음,37,보통
2026-08-06,서울,구로구,29.5,구름조금,높음,35,보통
2026-08-06,서울,금천구,29.6,구름조금,높음,36,보통
2026-08-06,서울,영등포구,29.9,맑음,높음,39,보통
2026-08-06,서울,동작구,29.7,구름조금,높음,37,보통
2026-08-06,서울,관악구,29.3,구름조금,높음,34,보통
2026-08-06,서울,서초구,30.0,맑음,높음,40,보통
2026-08-06,서울,강남구,30.4,맑음,매우 높음,43,보통
2026-08-06,서울,송파구,30.2,맑음,매우 높음,42,보통
2026-08-06,서울,강동구,29.9,맑음,높음,39,보통
2026-08-07,서울,종로구,30.3,맑음,매우 높음,41,보통
2026-08-07,서울,중구,30.5,맑음,매우 높음,43,보통
2026-08-07,서울,용산구,30.0,구름조금,높음,38,보통
2026-08-07,서울,성동구,30.2,구름조금,높음,40,보통
2026-08-07,서울,광진구,29.9,구름조금,높음,37,보통
2026-08-07,서울,동대문구,30.4,맑음,매우 높음,42,보통
2026-08-07,서울,중랑구,29.7,구름조금,높음,36,보통
2026-08-07,서울,성북구,30.1,구름조금,높음,39,보통
2026-08-07,서울,강북구,29.6,구름조금,높음,35,보통
2026-08-07,서울,도봉구,29.4,구름조금,높음,34,보통
2026-08-07,서울,노원구,29.5,구름조금,높음,35,보통
2026-08-07,서울,은평구,29.6,구름조금,높음,35,보통
2026-08-07,서울,서대문구,29.8,구름조금,높음,37,보통
2026-08-07,서울,마포구,30.0,구름조금,높음,38,보통
2026-08-07,서울,양천구,30.2,맑음,매우 높음,40,보통
2026-08-07,서울,강서구,30.1,맑음,매우 높음,39,보통
2026-08-07,서울,구로구,29.9,구름조금,높음,37,보통
2026-08-07,서울,금천구,30.0,구름조금,높음,38,보통
2026-08-07,서울,영등포구,30.3,맑음,매우 높음,41,보통
2026-08-07,서울,동작구,30.1,구름조금,높음,39,보통
2026-08-07,서울,관악구,29.7,구름조금,높음,36,보통
2026-08-07,서울,서초구,30.4,맑음,매우 높음,42,보통
2026-08-07,서울,강남구,30.8,맑음,매우 높음,45,보통
2026-08-07,서울,송파구,30.6,맑음,매우 높음,44,보통
2026-08-07,서울,강동구,30.3,맑음,매우 높음,41,보통
2026-08-08,서울,종로구,30.4,맑음,매우 높음,42,보통
2026-08-08,서울,중구,30.6,맑음,매우 높음,44,보통
2026-08-08,서울,용산구,30.1,구름조금,높음,39,보통
2026-08-08,서울,성동구,30.3,구름조금,높음,41,보통
2026-08-08,서울,광진구,30.0,구름조금,높음,38,보통
2026-08-08,서울,동대문구,30.5,맑음,매우 높음,43,보통
2026-08-08,서울,중랑구,29.8,구름조금,높음,37,보통
2026-08-08,서울,성북구,30.2,구름조금,높음,40,보통
2026-08-08,서울,강북구,29.7,구름조금,높음,36,보통
2026-08-08,서울,도봉구,29.5,구름조금,높음,35,보통
2026-08-08,서울,노원구,29.6,구름조금,높음,36,보통
2026-08-08,서울,은평구,29.7,구름조금,높음,36,보통
2026-08-08,서울,서대문구,29.9,구름조금,높음,38,보통
2026-08-08,서울,마포구,30.1,구름조금,높음,39,보통
2026-08-08,서울,양천구,30.3,맑음,매우 높음,41,보통
2026-08-08,서울,강서구,30.2,맑음,매우 높음,40,보통
2026-08-08,서울,구로구,30.0,구름조금,높음,38,보통
2026-08-08,서울,금천구,30.1,구름조금,높음,39,보통
2026-08-08,서울,영등포구,30.4,맑음,매우 높음,42,보통
2026-08-08,서울,동작구,30.2,구름조금,높음,40,보통
2026-08-08,서울,관악구,29.8,구름조금,높음,37,보통
2026-08-08,서울,서초구,30.5,맑음,매우 높음,43,보통
2026-08-08,서울,강남구,30.9,맑음,매우 높음,46,보통
2026-08-08,서울,송파구,30.7,맑음,매우 높음,45,보통
2026-08-08,서울,강동구,30.4,맑음,매우 높음,42,보통
2026-08-09,서울,종로구,30.2,구름조금,높음,40,보통
2026-08-09,서울,중구,30.4,구름조금,높음,42,보통
2026-08-09,서울,용산구,29.9,구름조금,높음,37,보통
2026-08-09,서울,성동구,30.1,구름조금,높음,39,보통
2026-08-09,서울,광진구,29.8,구름조금,높음,36,보통
2026-08-09,서울,동대문구,30.3,맑음,높음,41,보통
2026-08-09,서울,중랑구,29.6,구름조금,높음,35,보통
2026-08-09,서울,성북구,30.0,구름조금,높음,38,보통
2026-08-09,서울,강북구,29.5,구름조금,높음,34,보통
2026-08-09,서울,도봉구,29.3,구름조금,높음,33,보통
2026-08-09,서울,노원구,29.4,구름조금,높음,34,보통
2026-08-09,서울,은평구,29.5,구름조금,높음,34,보통
2026-08-09,서울,서대문구,29.7,구름조금,높음,36,보통
2026-08-09,서울,마포구,29.9,구름조금,높음,37,보통
2026-08-09,서울,양천구,30.1,맑음,높음,39,보통
2026-08-09,서울,강서구,30.0,맑음,높음,38,보통
2026-08-09,서울,구로구,29.8,구름조금,높음,36,보통
2026-08-09,서울,금천구,29.9,구름조금,높음,37,보통
2026-08-09,서울,영등포구,30.2,맑음,높음,40,보통
2026-08-09,서울,동작구,30.0,구름조금,높음,38,보통
2026-08-09,서울,관악구,29.6,구름조금,높음,35,보통
2026-08-09,서울,서초구,30.3,맑음,높음,41,보통
2026-08-09,서울,강남구,30.7,맑음,매우 높음,44,보통
2026-08-09,서울,송파구,30.5,맑음,매우 높음,43,보통
2026-08-09,서울,강동구,30.2,맑음,높음,40,보통
2026-08-10,서울,종로구,30.4,맑음,매우 높음,41,보통
2026-08-10,서울,중구,30.6,맑음,매우 높음,43,보통
2026-08-10,서울,용산구,30.1,구름조금,높음,38,보통
2026-08-10,서울,성동구,30.3,구름조금,높음,40,보통
2026-08-10,서울,광진구,30.0,구름조금,높음,37,보통
2026-08-10,서울,동대문구,30.5,맑음,매우 높음,42,보통
2026-08-10,서울,중랑구,29.8,구름조금,높음,36,보통
2026-08-10,서울,성북구,30.2,구름조금,높음,39,보통
2026-08-10,서울,강북구,29.7,구름조금,높음,35,보통
2026-08-10,서울,도봉구,29.5,구름조금,높음,34,보통
2026-08-10,서울,노원구,29.6,구름조금,높음,35,보통
2026-08-10,서울,은평구,29.7,구름조금,높음,35,보통
2026-08-10,서울,서대문구,29.9,구름조금,높음,37,보통
2026-08-10,서울,마포구,30.1,구름조금,높음,38,보통
2026-08-10,서울,양천구,30.3,맑음,매우 높음,40,보통
2026-08-10,서울,강서구,30.2,맑음,매우 높음,39,보통
2026-08-10,서울,구로구,30.0,구름조금,높음,37,보통
2026-08-10,서울,금천구,30.1,구름조금,높음,38,보통
2026-08-10,서울,영등포구,30.4,맑음,매우 높음,41,보통
2026-08-10,서울,동작구,30.2,구름조금,높음,39,보통
2026-08-10,서울,관악구,29.8,구름조금,높음,36,보통
2026-08-10,서울,서초구,30.5,맑음,매우 높음,42,보통
2026-08-10,서울,강남구,30.9,맑음,매우 높음,45,보통
2026-08-10,서울,송파구,30.7,맑음,매우 높음,44,보통
2026-08-10,서울,강동구,30.4,맑음,매우 높음,41,보통
2026-08-11,서울,종로구,30.5,맑음,매우 높음,42,보통
2026-08-11,서울,중구,30.7,맑음,매우 높음,44,보통
2026-08-11,서울,용산구,30.2,구름조금,높음,39,보통
2026-08-11,서울,성동구,30.4,구름조금,높음,41,보통
2026-08-11,서울,광진구,30.1,구름조금,높음,38,보통
2026-08-11,서울,동대문구,30.6,맑음,매우 높음,43,보통
2026-08-11,서울,중랑구,29.9,구름조금,높음,37,보통
2026-08-11,서울,성북구,30.3,구름조금,높음,40,보통
2026-08-11,서울,강북구,29.8,구름조금,높음,36,보통
2026-08-11,서울,도봉구,29.6,구름조금,높음,35,보통
2026-08-11,서울,노원구,29.7,구름조금,높음,36,보통
2026-08-11,서울,은평구,29.8,구름조금,높음,36,보통
2026-08-11,서울특별시,서대문구,30.0,구름조금,높음,38,보통
2026-08-11,서울,마포구,30.2,구름조금,높음,39,보통
2026-08-11,서울,양천구,30.4,맑음,매우 높음,41,보통
2026-08-11,서울,강서구,30.3,맑음,매우 높음,40,보통
2026-08-11,서울,구로구,30.1,구름조금,높음,38,보통
2026-08-11,서울,금천구,30.2,구름조금,높음,39,보통
2026-08-11,서울,영등포구,30.5,맑음,매우 높음,42,보통
2026-08-11,서울,동작구,30.3,구름조금,높음,40,보통
2026-08-11,서울,관악구,29.9,구름조금,높음,37,보통
2026-08-11,서울,서초구,30.6,맑음,매우 높음,43,보통
2026-08-11,서울,강남구,31.0,맑음,매우 높음,46,보통
2026-08-11,서울,송파구,30.8,맑음,매우 높음,45,보통
2026-08-11,서울,강동구,30.5,맑음,매우 높음,42,보통
2026-08-01,부산,중구,28.0,구름조금,높음,31,좋음
2026-08-01,부산,서구,27.8,구름조금,높음,30,좋음
2026-08-01,부산,동구,28.1,구름조금,높음,32,좋음
2026-08-01,부산,영도구,27.5,구름조금,높음,28,좋음
2026-08-01,부산,부산진구,28.4,구름조금,높음,34,보통
2026-08-01,부산,동래구,28.3,구름조금,높음,33,보통
2026-08-01,부산,남구,28.0,구름조금,높음,31,좋음
2026-08-01,부산,북구,28.8,맑음,높음,36,보통
2026-08-01,부산,해운대구,28.2,구름조금,높음,32,좋음
2026-08-01,부산,사하구,28.5,구름조금,높음,34,보통
2026-08-01,부산,금정구,27.8,구름조금,높음,29,좋음
2026-08-01,부산,강서구,28.7,맑음,높음,35,보통
2026-08-01,부산,연제구,28.4,구름조금,높음,34,보통
2026-08-01,부산,수영구,28.6,구름조금,높음,34,보통
2026-08-01,부산,사상구,28.6,구름조금,높음,34,보통
2026-08-01,부산,기장군,27.9,구름조금,높음,30,좋음
2026-08-02,부산,중구,28.2,맑음,높음,32,좋음
2026-08-02,부산,서구,28.0,맑음,높음,31,좋음
2026-08-02,부산,동구,28.3,맑음,높음,33,보통
2026-08-02,부산,영도구,27.7,맑음,높음,29,좋음
2026-08-02,부산,부산진구,28.6,맑음,높음,35,보통
2026-08-02,부산,동래구,28.5,맑음,높음,34,보통
2026-08-02,부산,남구,28.2,맑음,높음,32,좋음
2026-08-02,부산,북구,29.0,맑음,매우 높음,37,보통
2026-08-02,부산,해운대구,28.4,맑음,높음,33,보통
2026-08-02,부산,사하구,28.7,맑음,높음,35,보통
2026-08-02,부산,금정구,28.0,맑음,높음,30,좋음
2026-08-02,부산,강서구,28.9,맑음,매우 높음,36,보통
2026-08-02,부산,연제구,28.6,맑음,높음,35,보통
2026-08-02,부산,수영구,28.8,맑음,높음,35,보통
2026-08-02,부산,사상구,28.8,맑음,높음,35,보통
2026-08-02,부산,기장군,28.1,맑음,높음,31,좋음
2026-08-03,부산,중구,28.5,구름조금,높음,33,보통
2026-08-03,부산,서구,28.3,구름조금,높음,32,좋음
2026-08-03,부산,동구,28.6,구름조금,높음,34,보통
2026-08-03,부산,영도구,28.0,구름조금,높음,30,좋음
2026-08-03,부산,부산진구,28.9,구름조금,높음,36,보통
2026-08-03,부산,동래구,28.8,구름조금,높음,35,보통
2026-08-03,부산,남구,28.5,구름조금,높음,33,보통
2026-08-03,부산,북구,29.3,맑음,매우 높음,39,보통
2026-08-03,부산,해운대구,28.7,구름조금,높음,34,보통
2026-08-03,부산,사하구,29.0,구름조금,높음,37,보통
2026-08-03,부산,금정구,28.3,구름조금,높음,31,좋음
2026-08-03,부산,강서구,29.2,맑음,매우 높음,38,보통
2026-08-03,부산,연제구,28.9,구름조금,높음,36,보통
2026-08-03,부산,수영구,29.1,구름조금,높음,37,보통
2026-08-03,부산,사상구,29.1,구름조금,높음,37,보통
2026-08-03,부산,기장군,28.4,구름조금,높음,32,좋음
2026-08-04,부산,중구,28.6,구름조금,높음,34,보통
2026-08-04,부산,서구,28.4,구름조금,높음,33,보통
2026-08-04,부산,동구,28.7,구름조금,높음,35,보통
2026-08-04,부산,영도구,28.1,구름조금,높음,31,좋음
2026-08-04,부산,부산진구,29.0,구름조금,높음,37,보통
2026-08-04,부산,동래구,28.9,구름조금,높음,36,보통
2026-08-04,부산,남구,28.6,구름조금,높음,34,보통
2026-08-04,부산,북구,29.4,맑음,매우 높음,40,보통
2026-08-04,부산,해운대구,28.8,구름조금,높음,35,보통
2026-08-04,부산,사하구,29.1,구름조금,높음,38,보통
2026-08-04,부산,금정구,28.4,구름조금,높음,32,좋음
2026-08-04,부산,강서구,29.3,맑음,매우 높음,39,보통
2026-08-04,부산,연제구,29.0,구름조금,높음,37,보통
2026-08-04,부산,수영구,29.2,구름조금,높음,38,보통
2026-08-04,부산,사상구,29.2,구름조금,높음,38,보통
2026-08-04,부산,기장군,28.5,구름조금,높음,33,보통
2026-08-05,부산,중구,28.4,구름조금,높음,33,보통
2026-08-05,부산,서구,28.2,구름조금,높음,32,좋음
2026-08-05,부산,동구,28.5,구름조금,높음,34,보통
2026-08-05,부산,영도구,27.9,구름조금,높음,30,좋음
2026-08-05,부산,부산진구,28.8,구름조금,높음,36,보통
2026-08-05,부산,동래구,28.7,구름조금,높음,35,보통
2026-08-05,부산,남구,28.4,구름조금,높음,33,보통
2026-08-05,부산,북구,29.2,맑음,매우 높음,39,보통
2026-08-05,부산,해운대구,28.6,구름조금,높음,34,보통
2026-08-05,부산,사하구,28.9,구름조금,높음,37,보통
2026-08-05,부산,금정구,28.2,구름조금,높음,31,좋음
2026-08-05,부산,강서구,29.1,맑음,매우 높음,38,보통
2026-08-05,부산,연제구,28.8,구름조금,높음,36,보통
2026-08-05,부산,수영구,29.0,구름조금,높음,37,보통
2026-08-05,부산,사상구,29.0,구름조금,높음,37,보통
2026-08-05,부산,기장군,28.3,구름조금,높음,32,좋음
2026-08-06,부산,중구,28.3,구름조금,높음,32,좋음
2026-08-06,부산,서구,28.1,구름조금,높음,31,좋음
2026-08-06,부산,동구,28.4,구름조금,높음,33,보통
2026-08-06,부산,영도구,27.8,구름조금,높음,29,좋음
2026-08-06,부산,부산진구,28.7,구름조금,높음,35,보통
2026-08-06,부산,동래구,28.6,구름조금,높음,34,보통
2026-08-06,부산,남구,28.3,구름조금,높음,32,좋음
2026-08-06,부산,북구,29.1,맑음,매우 높음,38,보통
2026-08-06,부산,해운대구,28.5,구름조금,높음,33,보통
2026-08-06,부산,사하구,28.8,구름조금,높음,36,보통
2026-08-06,부산,금정구,28.1,구름조금,높음,30,좋음
2026-08-06,부산,강서구,29.0,맑음,매우 높음,37,보통
2026-08-06,부산,연제구,28.7,구름조금,높음,35,보통
2026-08-06,부산,수영구,28.9,구름조금,높음,36,보통
2026-08-06,부산,사상구,28.9,구름조금,높음,36,보통
2026-08-06,부산,기장군,28.2,구름조금,높음,31,좋음
2026-08-07,부산,중구,28.7,맑음,높음,35,보통
2026-08-07,부산,서구,28.5,맑음,높음,34,보통
2026-08-07,부산,동구,28.8,맑음,높음,36,보통
2026-08-07,부산,영도구,28.2,맑음,높음,32,좋음
2026-08-07,부산,부산진구,29.1,맑음,높음,38,보통
2026-08-07,부산,동래구,29.0,맑음,높음,37,보통
2026-08-07,부산,남구,28.7,맑음,높음,35,보통
2026-08-07,부산,북구,29.5,맑음,매우 높음,41,보통
2026-08-07,부산,해운대구,28.9,맑음,높음,37,보통
2026-08-07,부산,사하구,29.2,맑음,높음,39,보통
2026-08-07,부산,금정구,28.5,맑음,높음,33,보통
2026-08-07,부산,강서구,29.4,맑음,매우 높음,40,보통
2026-08-07,부산,연제구,29.1,맑음,높음,38,보통
2026-08-07,부산,수영구,29.3,맑음,높음,39,보통
2026-08-07,부산,사상구,29.3,맑음,높음,39,보통
2026-08-07,부산,기장군,28.6,맑음,높음,34,보통
2026-08-08,부산,중구,28.8,맑음,높음,36,보통
2026-08-08,부산,서구,28.6,맑음,높음,35,보통
2026-08-08,부산,동구,28.9,맑음,높음,37,보통
2026-08-08,부산,영도구,28.3,맑음,높음,33,보통
2026-08-08,부산,부산진구,29.2,맑음,높음,39,보통
2026-08-08,부산,동래구,29.1,맑음,높음,38,보통
2026-08-08,부산,남구,28.8,맑음,높음,36,보통
2026-08-08,부산,북구,29.6,맑음,매우 높음,42,보통
2026-08-08,부산,해운대구,29.0,맑음,높음,38,보통
2026-08-08,부산,사하구,29.3,맑음,높음,40,보통
2026-08-08,부산,금정구,28.6,맑음,높음,34,보통
2026-08-08,부산,강서구,29.5,맑음,매우 높음,41,보통
2026-08-08,부산,연제구,29.2,맑음,높음,39,보통
2026-08-08,부산,수영구,29.4,맑음,높음,40,보통
2026-08-08,부산,사상구,29.4,맑음,높음,40,보통
2026-08-08,부산,기장군,28.7,맑음,높음,35,보통
2026-08-09,부산,중구,28.6,구름조금,높음,34,보통
2026-08-09,부산,서구,28.4,구름조금,높음,33,보통
2026-08-09,부산,동구,28.7,구름조금,높음,35,보통
2026-08-09,부산,영도구,28.1,구름조금,높음,31,좋음
2026-08-09,부산,부산진구,29.0,구름조금,높음,37,보통
2026-08-09,부산,동래구,28.9,구름조금,높음,36,보통
2026-08-09,부산,남구,28.6,구름조금,높음,34,보통
2026-08-09,부산,북구,29.4,구름조금,매우 높음,40,보통
2026-08-09,부산,해운대구,28.8,구름조금,높음,36,보통
2026-08-09,부산,사하구,29.1,구름조금,높음,38,보통
2026-08-09,부산,금정구,28.4,구름조금,높음,32,좋음
2026-08-09,부산,강서구,29.3,구름조금,매우 높음,39,보통
2026-08-09,부산,연제구,29.0,구름조금,높음,37,보통
2026-08-09,부산,수영구,29.2,구름조금,높음,38,보통
2026-08-09,부산,사상구,29.2,구름조금,높음,38,보통
2026-08-09,부산,기장군,28.5,구름조금,높음,33,보통
2026-08-10,부산,중구,28.8,구름조금,높음,35,보통
2026-08-10,부산,서구,28.6,구름조금,높음,34,보통
2026-08-10,부산,동구,28.9,구름조금,높음,36,보통
2026-08-10,부산,영도구,28.3,구름조금,높음,32,좋음
2026-08-10,부산,부산진구,29.2,구름조금,높음,38,보통
2026-08-10,부산,동래구,29.1,구름조금,높음,37,보통
2026-08-10,부산,남구,28.8,구름조금,높음,35,보통
2026-08-10,부산,북구,29.6,맑음,매우 높음,41,보통
2026-08-10,부산,해운대구,29.0,구름조금,높음,37,보통
2026-08-10,부산,사하구,29.3,구름조금,높음,39,보통
2026-08-10,부산,금정구,28.6,구름조금,높음,33,보통
2026-08-10,부산,강서구,29.5,맑음,매우 높음,40,보통
2026-08-10,부산,연제구,29.2,구름조금,높음,38,보통
2026-08-10,부산,수영구,29.4,구름조금,높음,39,보통
2026-08-10,부산,사상구,29.4,구름조금,높음,39,보통
2026-08-10,부산,기장군,28.7,구름조금,높음,34,보통
2026-08-11,부산,중구,29.0,구름조금,높음,35,보통
2026-08-11,부산,서구,28.9,구름조금,높음,34,보통
2026-08-11,부산,동구,29.1,구름조금,높음,36,보통
2026-08-11,부산,영도구,28.5,구름조금,높음,32,보통
2026-08-11,부산,부산진구,29.4,구름조금,높음,38,보통
2026-08-11,부산,동래구,29.3,구름조금,높음,37,보통
2026-08-11,부산,남구,29.0,구름조금,높음,35,보통
2026-08-11,부산,북구,29.8,맑음,매우 높음,41,보통
2026-08-11,부산,해운대구,29.2,구름조금,높음,37,보통
